もう	16
もそ	16
わ	16
をの	16
をもって	16
化学	16
居る	16
金	16
健康	16
幸福	16
考へ	16
際	16
室	16
車	16
新	16
戦い	16
表情	16
文章	16
聞く	16
方法	16
法	16
民	16
利用	16
例	16
話し	16
え	15
かけ	15
ざる	15
たから	15
ちや	15
であるこ	15
といった	15
とそ	15
なれ	15
のす	15
はや	15
ふこ	15
ゆく	15
屋	15
感情	15
岩	15
鬼ヶ島	15
曲	15
近い	15
芸術	15
月	15
個人	15
考える	15
国務大臣	15
資料	15
若い	15
秋	15
上の	15
赤	15
船	15
全体	15
存在	15
値段	15
二三	15
如何に	15
発展	15
美し	15
不思議	15
有する	15
様子	15
例えば	15
あげ	14
あるか	14
ウ	14
おら	14
がた	14
かっ	14
かもし	14
ク	14
けれども	14
せん	14
そのもの	14
それで	14
だら	14
タレ	14
どうか	14
のし	14
のま	14
べ	14
もっとも	14
よって	14
ろ	14
んで	14
宇宙	14
感	14
感覚	14
強い	14
形式	14
経済	14
言う	14
今まで	14
最後	14
参議院	14
思い	14
時には	14
実は	14
種	14
集め	14
水	14
戦争	14
総理	14
足	14
続け	14
其の	14
他人	14
沢山	14
当時	14
読む	14
読ん	14
日本国	14
認め	14
分	14
文化	14
文字	14
民主	14
理由	14
いて	13
いろいろ	13
うい	13
こ	13
そこ	13
その後	13
その時	13
だって	13
たゆ	13
ぢ	13
つたの	13
でしょ	13
どの	13
なに	13
はお	13
はと	13
ひな	13
フ	13
ほとんど	13
まり	13
みた	13
やがて	13
やはり	13
ラ	13
わが国	13
安く	13
安福	13
階級	13
巨大	13
現在	13
後に	13
公共	13
行っ	13
始め	13
思え	13
思ひ	13
事務	13
寺	13
質屋	13
酒	13
周囲	13
女性	13
生きる	13
生れ	13
精神	13
昔	13
石原	13
責任	13
想像	13
但し	13
彫刻	13
鳥	13
当然	13
特に	13
内容	13
悩み	13
発見	13
秘密	13
品	13
訪ね	13
娘	13
面白い	13
貰	13
余り	13
容易	13
用	13
あるこ	12
いい	12
いっ	12
オ	12
からも	12
したい	12
すが	12
すでに	12
ダ	12
だし	12
つもり	12
ト	12
ども	12
なか	12
